No,Issue / Gap,Root Cause,Corrective Action,Owner,Start Date,Due Date,Required Evidence,Status (%),Current Status,Follow-up Note
1,,,,,,,,,Not started,
2,,,,,,,,,Not started,
3,,,,,,,,,Not started,
4,,,,,,,,,Not started,
5,,,,,,,,,Not started,
6,,,,,,,,,Not started,
7,,,,,,,,,Not started,
8,,,,,,,,,Not started,
9,,,,,,,,,Not started,
10,,,,,,,,,Not started,
Summary,Total Items,"=COUNTA(A2:A11)",,,,,,,,
Summary,Completed Items,"=COUNTIF(J2:J11,""Completed"")",,,,,,,,
Summary,Completion Rate,"=IF(C13=0,"""",C14/C13)",,,,,,,,
