Section,Item,Score (0-2),Weight,Weighted Score,Status,Note
Governance,Written appointment order for finance responsibilities,,1,=IF(C2="","",C2*D2),, 
Governance,Separation of duties (approve/receive/pay/record),,1,=IF(C3="","",C3*D3),,
Budget,Annual action plan linked to budget,,1,=IF(C4="","",C4*D4),,
Budget,Budget control register by project is up-to-date,,1,=IF(C5="","",C5*D5),,
Budget,Budget balance is verified before each approval,,1,=IF(C6="","",C6*D6),,
Revenue,Official receipt numbering is continuous and auditable,,1,=IF(C7="","",C7*D7),,
Revenue,Cash collection is deposited within required timeline,,1,=IF(C8="","",C8*D8),,
Revenue,Revenue register reconciles with bank statement,,1,=IF(C9="","",C9*D9),,
Disbursement,Disbursement documents are complete before payment,,1,=IF(C10="","",C10*D10),,
Disbursement,Payment is within approved objective and budget,,1,=IF(C11="","",C11*D11),,
Procurement,Procurement method matches threshold/rules,,1,=IF(C12="","",C12*D12),,
Procurement,Receiving report exists before disbursement,,1,=IF(C13="","",C13*D13),,
Accounting,Transactions are recorded without backlog,,1,=IF(C14="","",C14*D14),,
Accounting,Monthly close and summaries are completed on time,,1,=IF(C15="","",C15*D15),,
Internal Control,Monthly bank reconciliation is reviewed by supervisor,,1,=IF(C16="","",C16*D16),,
Internal Control,Cash count report is prepared regularly,,1,=IF(C17="","",C17*D17),,
Reporting,Financial report submitted to school director on schedule,,1,=IF(C18="","",C18*D18),,
Reporting,Budget remaining report by project is available,,1,=IF(C19="","",C19*D19),,
Digital Control,User access is role-based (no shared accounts),,1,=IF(C20="","",C20*D20),,
Digital Control,Audit trail and backup restore test exist,,1,=IF(C21="","",C21*D21),,
Summary,TOTAL SCORE,,,"=SUM(E2:E21)",,
Summary,MAX SCORE,,,"=SUM(D2:D21)*2",,
Summary,PERCENT,,,"=IF(E23=0,"""",E22/E23)",,
Summary,RATING,,,"=IF(E24="""","""",IF(E24>=0.8,""Good (>=80%)"",IF(E24>=0.6,""Fair (60-79%)"",""High Risk (<60%)"")))",,
Guide,Allowed Score Values: 2=Pass, 1=Needs Improvement, 0=Fail,,,,,
